Fecha;16040050;23185010;23190130;23195090;23195180;23195200;23195502;24055030;37015020;23180040;23180050;23180070;23180080;23190110;23190140;23190210;23190260;23190280;23190300;23190320;23190340;23190350;23190360;23190380;23190400;23190440;23190450;23190500;23190510;23190520;23190560;23190590;23190600;23190700;23190810;23190830;24030270;24030330;24030630;24030750;24050060;24050070;24060040;24060080
2000-01-27;5;0;0;0;0;0;0.6;0;0;0;0;0;0;0;0;0;;0;3;4;0;0;0;0;4;;0;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0;5;0;0
2000-01-28;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;7;0;0;0;0;0;0;42;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0
2000-01-29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;8.5;0;7;0;10;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2000-01-30;0;0;0;2;2;8.3;0;0.5;4.3;0;0;0;0;0;0;0;;0;2;0;0;0;1;0;9;;10;0;0;0;0;0;0;10.3;0;0;4;2;3;0;0;0;0;0
2000-01-31;0;0;0;0;0;0;86.1;15.6;0;0;0;3;0;7;36;0;;0;4;1;2.3;39;9;48;9;;0;15;26;2;0;19.5;8;8.9;4;56.5;9;5;3;15;0;0;1;0
2000-02-01;0;0.4;0;0;0.5;0.2;0.2;0.5;4;0;18;0;4;3;5;0;;0;0;2;0;0;1;0;0;;0;10;0;4;11;1.2;0;0;2;1.1;4;2;0;2;0;0;3;3
2000-02-02;5;0;0;0;4.7;0;0;0;0.5;0;0;0;0;6;0;0;;0;0;0;0;0;0;0;0;;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2000-02-03;7;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;;0;0;0;0;0;0;0;0;;0;3;0;0;1;0;0;1.2;0;0;0;6;0;0;0;0;0;0
2000-02-04;0;2.3;0;0;0;0;20;5.3;0;42;11;7;0;0;16;14;;10;0;42;0;22;4;43;0;;0;0;53;0;18;5.9;40;0;5;0;0;0;0;0;25;16;8;10
2000-02-05;0;33.1;0;0;0;0;0;4.2;0;4;0;40;20;0;0;0;;0;3;0;0;11;0;0;0;;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;20;13;13
2000-02-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2000-02-07;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2000-02-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2000-02-09;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;;0;0;5;0;0;0;5;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
2000-02-10;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;;1;0;0;0;0;0;20;0;;0;0;0;0;0;0;7;0;0;0.3;3;0;0;0;13;3;0;0
2000-02-11;0;0;0;0;0;0;0;2.4;0;0;0;0;0;0;2;0;;0;0;0;0;2;0;0;0;;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0
2000-02-12;0;0;0;0;0;0;8.4;0;0;0;0;0;0;0;0;0;;35;0;0;0;0;0;0;0;;0;0;0;0;0;1.8;0;0;0;0.6;0;0;0;0;0;0;0;0
2000-02-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2000-02-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
